"","city","year","weekofyear","precipitation_amt_mm","reanalysis_air_temp_k","reanalysis_avg_temp_k","reanalysis_dew_point_temp_k","reanalysis_max_air_temp_k","reanalysis_min_air_temp_k","reanalysis_precip_amt_kg_per_m2","reanalysis_relative_humidity_percent","reanalysis_sat_precip_amt_mm","reanalysis_specific_humidity_g_per_kg","reanalysis_tdtr_k","station_avg_temp_c","station_diur_temp_rng_c","station_max_temp_c","station_min_temp_c","station_precip_mm","train_label$total_cases"
"1","sj",1990,18,12.42,297.572857143,297.742857143,292.414285714,299.8,295.9,32,73.3657142857,12.42,14.0128571429,2.62857142857,25.4428571429,6.9,29.4,20,16,4
"2","sj",1990,19,22.82,298.211428571,298.442857143,293.951428571,300.9,296.4,17.94,77.3685714286,22.82,15.3728571429,2.37142857143,26.7142857143,6.37142857143,31.7,22.2,8.6,5
"3","sj",1990,20,34.54,298.781428571,298.878571429,295.434285714,300.5,297.3,26.1,82.0528571429,34.54,16.8485714286,2.3,26.7142857143,6.48571428571,32.2,22.8,41.4,4
"4","sj",1990,21,15.36,298.987142857,299.228571429,295.31,301.4,297,13.9,80.3371428571,15.36,16.6728571429,2.42857142857,27.4714285714,6.77142857143,33.3,23.3,4,3
"5","sj",1990,22,7.52,299.518571429,299.664285714,295.821428571,301.9,297.5,12.2,80.46,7.52,17.21,3.01428571429,28.9428571429,9.37142857143,35,23.9,5.8,6
"6","sj",1990,23,9.58,299.63,299.764285714,295.851428571,302.4,298.1,26.49,79.8914285714,9.58,17.2128571429,2.1,28.1142857143,6.94285714286,34.4,23.9,39.1,2
"7","sj",1990,24,3.48,299.207142857,299.221428571,295.865714286,301.3,297.7,38.6,82,3.48,17.2342857143,2.04285714286,27.4142857143,6.77142857143,32.2,23.3,29.7,4
"8","sj",1990,25,151.12,299.591428571,299.528571429,296.531428571,300.6,298.4,30,83.3757142857,151.12,17.9771428571,1.57142857143,28.3714285714,7.68571428571,33.9,22.8,21.1,5
"9","sj",1990,26,19.32,299.578571429,299.557142857,296.378571429,302.1,297.7,37.51,82.7685714286,19.32,17.79,1.88571428571,28.3285714286,7.38571428571,33.9,22.8,21.1,10
"10","sj",1990,27,14.41,300.154285714,300.278571429,296.651428571,302.3,298.7,28.4,81.2814285714,14.41,18.0714285714,2.01428571429,28.3285714286,6.51428571429,33.9,24.4,1.1,6
"11","sj",1990,28,22.27,299.512857143,299.592857143,296.041428571,301.8,298,43.72,81.4671428571,22.27,17.4185714286,2.15714285714,27.5571428571,7.15714285714,31.7,21.7,63.7,8
"12","sj",1990,29,59.17,299.667142857,299.75,296.334285714,302,297.3,40.9,82.1442857143,59.17,17.7371428571,2.41428571429,28.1285714286,6.9,32.8,23.9,12.2,2
"13","sj",1990,30,16.48,299.558571429,299.635714286,295.96,301.8,297.1,42.53,80.7428571429,16.48,17.3414285714,2.07142857143,28.1142857143,6.35714285714,31.7,22.8,32.6,6
"14","sj",1990,31,32.66,299.862857143,299.95,296.172857143,303,298.3,34.6,80.5842857143,32.66,17.5942857143,2.58571428571,28.2428571429,8.08571428571,34.4,22.8,37.6,17
"15","sj",1990,32,28.8,300.391428571,300.478571429,296.532857143,302.5,298.8,20,79.65,28.8,17.95,2.32857142857,28.2,7.55714285714,33.3,23.3,11.4,23
"16","sj",1990,33,90.75,299.958571429,299.957142857,297.035714286,302.6,298.5,101.9,84.1785714286,90.75,18.5157142857,1.85714285714,28.0428571429,6.68571428571,32.8,22.8,44.7,13
"17","sj",1990,34,32.4,300.332857143,300.414285714,296.728571429,302.5,298.1,25.9,80.9471428571,32.4,18.1742857143,2.48571428571,28.3428571429,7.01428571429,33.3,23.3,5.4,21
"18","sj",1990,35,40.94,300.118571429,300.221428571,297.017142857,302.2,298.7,39.8,83.3485714286,40.94,18.5157142857,1.9,28.6571428571,6.52857142857,32.2,24.4,13.7,28
"19","sj",1990,36,28.86,300.53,300.635714286,296.117142857,303.8,298,30.4,77.1728571429,28.86,17.56,3.47142857143,28.3285714286,7.61428571429,32.8,23.3,14.2,24
"20","sj",1990,37,64.56,300.674285714,300.792857143,297.192857143,302.9,299,24.18,81.5514285714,64.56,18.7771428571,2.9,28.6857142857,8.05714285714,33.9,24.4,25.9,20
"21","sj",1990,38,143.73,299.857142857,299.9,296.431428571,301.7,298.7,36.6,81.6371428571,143.73,17.8928571429,1.74285714286,28.2428571429,8.11428571429,32.8,23.9,3.3,40
"22","sj",1990,39,51.39,300.427142857,300.6,296.028571429,302.4,299.1,16.4,77.0485714286,51.39,17.4685714286,2.25714285714,28.3428571429,7.72857142857,32.8,24.4,15.8,27
"23","sj",1990,40,31.18,300.775714286,300.85,296.664285714,303.3,299.1,36.1,78.52,31.18,18.18,2.9,28.7714285714,8.02857142857,33.3,23.9,11.7,42
"24","sj",1990,41,51.42,299.857142857,299.942857143,296.928571429,301.8,298.1,132.4,84.11,51.42,18.5128571429,2.57142857143,28.6285714286,7.31428571429,33.3,24.4,57.7,33
"25","sj",1990,42,143.55,299.195714286,299.307142857,296.544285714,301.5,297.5,279.6,85.6214285714,143.55,18.1157142857,1.87142857143,27.6285714286,7.4,32.8,23.3,61.8,43
"26","sj",1990,43,127.03,298.902857143,299.042857143,296.257142857,300.9,297.2,94.52,85.5028571429,127.03,17.75,1.8,26.7714285714,7.62857142857,32.2,21.7,91.5,37
"27","sj",1990,44,101.35,299.727142857,299.778571429,296.534285714,301.4,298.5,22.26,82.7871428571,101.35,18.0342857143,1.78571428571,27.9714285714,8.64285714286,33.3,22.8,6.3,57
"28","sj",1990,45,20.46,299.972857143,300.035714286,296.564285714,302.2,298.5,14.4,81.7157142857,20.46,18.0742857143,2.38571428571,28.4714285714,8.42857142857,33.3,23.9,6.6,71
"29","sj",1990,46,20,300.35,300.5,295.687142857,302.3,298.8,7.1,75.7285714286,20,17.0857142857,2.2,27.5428571429,8.6,32.8,22.2,38.9,44
"30","sj",1990,47,20.04,299.511428571,299.635714286,295.375714286,301.6,297,36.7,78.1514285714,20.04,16.7528571429,2.52857142857,26.8,7.41428571429,31.7,22.2,9.6,56
"31","sj",1990,48,33.61,298.238571429,298.264285714,294.811428571,300.2,296.5,44.3,81.3857142857,33.61,16.2085714286,1.98571428571,26.2,7.12857142857,31.1,20.6,26.7,53
"32","sj",1990,49,9.96,298.542857143,298.685714286,294.782857143,300.8,296.7,71.8,79.9085714286,9.96,16.1614285714,2.05714285714,25.9857142857,5.54285714286,29.4,22.2,69,52
"33","sj",1990,50,0,298.202857143,298.278571429,292.004285714,300.6,296.1,4.1,68.7228571429,0,13.6157142857,2.98571428571,24.6857142857,7.77142857143,29.4,19.4,2.8,47
"34","sj",1990,51,52.45,298.297142857,298.378571429,294.558571429,300.9,296,32.31,80.0828571429,52.45,15.9542857143,2.87142857143,25.7142857143,6.58571428571,30.6,21.1,19.8,26
"35","sj",1990,52,0,298.038571429,298.085714286,292.105714286,299.8,295.3,5.46,69.6814285714,0,13.6828571429,2.28571428571,25.1571428571,5.84285714286,28.9,21.1,20.9,27
"36","sj",1991,1,0,297.06,297.135714286,291.907142857,299,293.9,4.8,72.9385714286,0,13.5114285714,2.52857142857,24.3857142857,7.45714285714,29.4,18.9,5.3,21
"37","sj",1991,2,15.85,297.674285714,297.828571429,293.282857143,299.3,295.8,26.33,76.6285714286,15.85,14.6714285714,1.88571428571,24.9142857143,6.31428571429,28.3,21.1,31.7,21
"38","sj",1991,3,0,297.422857143,297.657142857,293.412857143,299.3,296.1,27.4,78.5,0,14.7985714286,2,25.2428571429,6.57142857143,29.4,21.1,16.5,26
"39","sj",1991,4,0,297.884285714,298.15,292.382857143,300.3,296,0.7,71.5971428571,0,13.8785714286,2.55714285714,24.7142857143,7.77142857143,29.4,18.3,6.8,34
"40","sj",1991,5,0,298.044285714,298.228571429,292.572857143,300.1,295,5.7,71.7842857143,0,14.0442857143,2.77142857143,24.8285714286,8.15714285714,30,18.9,5.9,37
"41","sj",1991,6,0,297.74,297.928571429,293.15,299.7,295,19.69,75.7942857143,0,14.5414285714,2.42857142857,25.0571428571,6.88571428571,30,20.6,7.3,17
"42","sj",1991,7,18.05,296.884285714,297.114285714,292.972857143,300.2,294.1,21.4,78.8957142857,18.05,14.46,3.2,25.1428571429,8.87142857143,32.2,18.9,5.6,19
"43","sj",1991,8,0,297.414285714,297.614285714,293.631428571,300.1,295.8,26.2,79.74,0,15.0357142857,2.57142857143,25.8428571429,8.47142857143,32.2,20,17.8,25
"44","sj",1991,9,31.79,297.505714286,297.828571429,293.407142857,299.8,295.8,23.8,77.9771428571,31.79,14.7942857143,2.11428571429,25.2571428571,7.2,30.6,20,30.7,18
"45","sj",1991,10,0,297.777142857,298.078571429,293.531428571,300.3,296.4,8.3,77.3157142857,0,14.92,2.24285714286,26.0142857143,8.31428571429,31.1,20.6,10.9,21
"46","sj",1991,11,0,297.431428571,297.635714286,293.335714286,300.1,295.7,13.37,78.1385714286,0,14.7871428571,2.72857142857,25.9285714286,8.97142857143,31.7,20.6,3.6,17
"47","sj",1991,12,0,297.407142857,297.614285714,293.254285714,300.4,295.4,11.1,77.8828571429,0,14.7457142857,2.54285714286,26.0857142857,6.97142857143,32.2,21.1,5.7,17
"48","sj",1991,13,0,297.47,297.692857143,293.74,301,295.7,21.26,80.0014285714,0,15.1485714286,2.75714285714,26.0571428571,6.58571428571,32.2,22.2,26.9,16
"49","sj",1991,14,12.92,297.064285714,297.185714286,292.48,299.4,295.4,20.9,75.6628571429,12.92,13.9914285714,2.28571428571,25.2428571429,6.81428571429,28.9,20.6,4.1,16
"50","sj",1991,15,6,297.372857143,297.657142857,293.615714286,299.2,295.9,19.78,79.6285714286,6,14.9928571429,2.62857142857,25.3,6.51428571429,28.9,21.1,18.8,15
"51","sj",1991,16,44.57,297.284285714,297.392857143,292.17,298.9,296,21.9,73.3514285714,44.57,13.7328571429,2.01428571429,25.5142857143,6.27142857143,29.4,21.1,19.4,23
"52","sj",1991,17,32.72,298.074285714,298.235714286,294.028571429,299.6,296.7,19.7,78.4471428571,32.72,15.4614285714,2.3,26.5285714286,8.01428571429,32.8,21.7,3.5,16
